Id,Weekly_Sales
1_1_2012-11-02,22319.438221305576
1_1_2012-11-09,48592.860067782545
1_1_2012-11-16,8984.249036399366
1_1_2012-11-23,39361.96664742451
1_1_2012-11-30,17057.249383856153
1_1_2012-12-07,3428.91833264527
1_1_2012-12-14,18726.239059373478
1_1_2012-12-21,41685.8612663056
1_1_2012-12-28,28167.10113953277
1_1_2013-01-04,31480.027574189
1_1_2013-01-11,25094.59827226763
1_1_2013-01-18,11231.273197103521
1_1_2013-01-25,41251.92354852162
1_1_2013-02-01,13334.346520708115
1_1_2013-02-08,15478.115020149562
1_1_2013-02-15,9683.51911256838
1_1_2013-02-22,4984.31350885888
1_1_2013-03-01,1480.5289879363133
1_1_2013-03-08,4039.1475127593735
1_1_2013-03-15,7465.806654469321
1_1_2013-03-22,8369.8788892016
1_1_2013-03-29,22293.80640456631
1_1_2013-04-05,6891.187025923871
1_1_2013-04-12,10672.374885870853
1_1_2013-04-19,6715.688966077821
1_1_2013-04-26,1577.2421563266257
1_1_2013-05-03,1186.974057598287
1_1_2013-05-10,4690.557510797238
1_1_2013-05-17,2639.438500947927
1_1_2013-05-24,1663.7989114639113
1_1_2013-05-31,5648.7520955246855
1_1_2013-06-07,6552.095748552606
1_1_2013-06-14,12094.520540107033
1_1_2013-06-21,2875.069922184667
1_1_2013-06-28,2320.6281119568625
1_1_2013-07-05,3334.0681354060066
1_1_2013-07-12,74616.76615221778
1_1_2013-07-19,59333.25274808936
1_1_2013-07-26,1553.185318733827
1_2_2012-11-02,8252.527953497545
1_2_2012-11-09,5353.722688831826
1_2_2012-11-16,18734.438351352666
1_2_2012-11-23,1464.5863353288362
1_2_2012-11-30,10520.13000355859
1_2_2012-12-07,2115.8773022526934
1_2_2012-12-14,8336.387709709208
1_2_2012-12-21,1991.4968263426288
1_2_2012-12-28,5285.1046940626165
1_2_2013-01-04,512.3167125948489
1_2_2013-01-11,1019.3379218589262
1_2_2013-01-18,6856.206245905821
1_2_2013-01-25,2973.2343704786445
1_2_2013-02-01,45378.91422111953
1_2_2013-02-08,9684.313735953854
1_2_2013-02-15,39157.944708211064
1_2_2013-02-22,21351.41218331244
1_2_2013-03-01,33176.041208295814
1_2_2013-03-08,21397.56773514621
1_2_2013-03-15,5558.350247338495
1_2_2013-03-22,2834.508655391671
1_2_2013-03-29,52093.968835555934
1_2_2013-04-05,93645.39923300648
1_2_2013-04-12,70660.13112658948
1_2_2013-04-19,153831.27164361603
1_2_2013-04-26,78191.23103931067
1_2_2013-05-03,65036.62758021648
1_2_2013-05-10,128570.6671175196
1_2_2013-05-17,33811.829339017946
1_2_2013-05-24,38891.15198767883
1_2_2013-05-31,12813.874217104107
1_2_2013-06-07,320.8585814631209
1_2_2013-06-14,19238.99204074223
1_2_2013-06-21,49028.716747838895
1_2_2013-06-28,6018.166786913057
1_2_2013-07-05,39681.14574386339
1_2_2013-07-12,17805.571177794973
1_2_2013-07-19,3562.04610653089
1_2_2013-07-26,19279.350391385076
1_3_2012-11-02,41227.699389066795
1_3_2012-11-09,27017.33760097188
1_3_2012-11-16,30423.263411515465
1_3_2012-11-23,23564.915076987738
1_3_2012-11-30,11666.415289670025
1_3_2012-12-07,41964.845740227815
1_3_2012-12-14,12783.420049764047
1_3_2012-12-21,16205.699273171813
1_3_2012-12-28,9576.456977812863
1_3_2013-01-04,1755.981891481528
1_3_2013-01-11,1184.7113742252166
1_3_2013-01-18,4790.269307996973
1_3_2013-01-25,7384.872917750322
1_3_2013-02-01,8578.91677542407
1_3_2013-02-08,21096.450694711308
1_3_2013-02-15,5372.548165638777
1_3_2013-02-22,11219.706785326896
1_3_2013-03-01,6899.362950312788
1_3_2013-03-08,1367.4449884710825
1_3_2013-03-15,801.031882476848
1_3_2013-03-22,4471.564623557361
1_3_2013-03-29,2610.0699884933065
1_3_2013-04-05,1611.1243316115263
1_3_2013-04-12,5729.001197233713
1_3_2013-04-19,5266.289900042835
1_3_2013-04-26,11460.629791819796
1_3_2013-05-03,2488.636426519244
1_3_2013-05-10,2831.7952571815827
1_3_2013-05-17,3005.5162418481204
1_3_2013-05-24,77004.21775094852
1_3_2013-05-31,60369.30997218884
1_3_2013-06-07,869.2376655826082
1_3_2013-06-14,8381.455857163462
1_3_2013-06-21,5300.297510030822
1_3_2013-06-28,18844.391998161438
1_3_2013-07-05,654.9071702252578
1_3_2013-07-12,10015.786241522146
1_3_2013-07-19,1952.1467646824856
1_3_2013-07-26,9620.975145344997
1_4_2012-11-02,2683.633522436227
1_4_2012-11-09,5319.091924031482
1_4_2012-11-16,571.7715512033974
1_4_2012-11-23,1011.2492310742538
1_4_2012-11-30,6374.479769419197
1_4_2012-12-07,3245.1242748627205
1_4_2012-12-14,44968.187869819354
1_4_2012-12-21,11312.203301330459
1_4_2012-12-28,39657.15540643085
1_4_2013-01-04,21659.83371607183
1_4_2013-01-11,34741.25691515075
1_4_2013-01-18,20283.66145806944
1_4_2013-01-25,6313.639924651294
1_4_2013-02-01,3143.3252631915398
1_4_2013-02-08,54240.79723145364
1_4_2013-02-15,94594.39491576205
1_4_2013-02-22,73608.96156025755
1_4_2013-03-01,153801.15402986226
1_4_2013-03-08,81379.55486024266
1_4_2013-03-15,64293.41353938256
1_4_2013-03-22,128417.11685841838
1_4_2013-03-29,32994.56003545302
1_4_2013-04-05,39832.80862994385
1_4_2013-04-12,12415.973083596617
1_4_2013-04-19,549.2721835304253
1_4_2013-04-26,24856.688140774
1_4_2013-05-03,41551.67880432346
1_4_2013-05-10,4457.690192295143
1_4_2013-05-17,35774.93579061897
1_4_2013-05-24,18126.994114091143
1_4_2013-05-31,3071.8353629425387
1_4_2013-06-07,18864.486932032152
1_4_2013-06-14,39276.28304226868
